ID,Title,Year,Rank,Poster
807b3a19-f74b-41dc-a8e7-8d38c8b2e087,There's Something about Mary,1998,25/75,
cce7acfe-a8cc-4406-806d-c7149051b7a3,She's Out of Your League,2010,40/60,
6d8e701e-dd88-4f64-b698-a73ea8474d3c,The Vow,2012,90/10,/qHNjcjKa6VHJsa0Eu0DHl2BaYw3.jpg
e1a90dec-cde9-4a87-aed4-6bf15971ed4b,Meet Joe Black,1998,85/15,/fDPAjvfPMomkKF7cMRmL5Anak61.jpg
b40d11ee-3e89-4604-a947-6a7d1cba78b5,Runaway Bride,1999,70/30,/aq0wzlWTEaUHlehS14cS5kejRIY.jpg
aa5e1637-ff99-463e-a0c8-cc7b367c0393,Must Love Dogs,2005,70/30,/252PdRj3y2S05DC4oSf2qk2vva3.jpg
130ba6df-e105-4af3-94ab-3535c70c8194,10 Things I Hate About You,1999,55/45,/ujERk3aKABXU3NDXOAxEQYTHe9A.jpg
b4791185-8c69-4079-906a-6600a3edafcd,13 Going On 30,2004,65/35,
8259ff73-2f38-4312-85da-13434994a0f0,17 Again,2009,40/60,/wqE9b0bdZsubI82zdX1ykLfPajh.jpg
475b57fd-6c30-4922-8599-e73b4655755c,27 Dresses,2008,75/25,/rEfourJfgEyKiewwH8ZkUYt9AqE.jpg
04637bf5-9a7a-4b79-bc37-f9100dd26177,50 First Dates,2004,60/40,/lzUI2Cg7OMfcUNv3f7MywYNBjs6.jpg
34d270b1-660f-4929-9d35-cb1495623b42,A Christmas Prince,2017,80/20,/x0IGQsMzVbsF7noj5cCfEk1GU7s.jpg
b4fa9313-06c5-4019-830e-c9daeb0e3585,A Christmas Prince: The Royal Wedding,2018,85/15,/2bLQTbFWrsunSVQsvOWZAAGACbf.jpg
c0ebe43b-d628-42ed-850c-8dae72c5c19c,A Christmas Prince: The Royal Baby,2019,82/18,/4RErLw0APt8qQiee0d8VCKasWwl.jpg
35d17ab3-913e-4e06-9d41-a19b003b88f3,A Cinderella Story,2004,70/30,/3d6Nu5c7BSo5BrH2xE1pnj3yNrc.jpg
98b01016-c763-4d2e-8950-aaf2bfc3c732,A Perfect Pairing,2022,65/35,/h65lLhYEfRGOWVZzwX9n7vYOixf.jpg
e7550fa5-91c4-4a17-87a2-a79f65f25f59,About Fate,2022,75/25,/fabZkaVHYJ67KbZx7oFoitauX34.jpg
27964bf3-13a9-4f0e-a40c-d2d0d955db06,About Last Night,1986,50/50,
464bcaac-e567-47e4-b8f2-5b47acad244e,Alex & Emma,2003,60/40,/AaDCSJipXeswMpM0TfOAbbYaBPb.jpg
5fdab567-8b67-460a-890f-971f56459b3f,Aloha,2015,55/45,/58Y4CjcRX8AtMNtI0AXu9H7iebP.jpg
82959431-8ff2-4157-9afa-a6768e3eb9ab,Along Came Polly,2004,45/55,/ieTSn8YTsHoPK8GNf2J9eIkP5wo.jpg
9dcee195-467d-4a15-bae3-0f579e04427b,Always Be My Maybe,2019,60/40,/3BO6pPa7qDcpPYct061Luh9fvst.jpg
9c4c9ab1-3691-434c-ae57-fce6480fc42a,Anyone But You,2023,55/45,/5qHoazZiaLe7oFBok7XlUhg96f2.jpg
9c84a6dc-7cee-4e2d-9e9c-252089909a7d,Because I Said So,2007,65/35,/wQtGQnr5RPnmzSfV9zUcgh8R9NX.jpg
28ac1195-313a-42b0-a530-76afbdbb77db,Before We Go,2014,80/20,/hbWU6Q6owywuCzLRSJ0Nzxh0E2E.jpg
26a68000-d089-44b5-b513-72b0ec84acdc,Book Club,2018,40/60,/6ORGBbOA45pfKQXvntPf46NoFGO.jpg
7cb68df0-fbe9-41c3-81fd-e39d414c8ef6,Bridget Jones's Baby,2016,55/45,/5hHomngoPZrNoXOPlyaHV6eXaQW.jpg
7fbcb9f3-b4c4-40f5-b960-29a7525c2861,Bridget Jones's Diary,2001,50/50,/kAygHXKmq5Io2UUYkMBUXVRwUQy.jpg
2ad9afc6-ad50-48e0-9377-02ff7434c6b0,Bridget Jones: The Edge of Reason,2004,52/48,/4L8xKzYvZ9yNHuYt6SDk68BKtp3.jpg
2fb38b61-8b2f-4856-9156-df27b00c8fe6,Catch and Release,2007,70/30,
dd6a02a4-df19-4766-ae5d-c10a261153e6,Christmas With the Campbells,2022,55/45,
7b72134d-eb2d-4a1f-8ce7-9da593765f7c,Christmas With You,2022,70/30,
087f4e7f-197c-4c6b-9cae-db575445927e,Confessions of a Shopaholic,2009,40/60,/6DH1iP06fcpjD7tppsTwcAyZfDR.jpg
6295ba47-eea3-4c3f-8405-40f74ac0d37c,Crazy Rich Asians,2018,65/35,/1XxL4LJ5WHdrcYcihEZUCgNCpAW.jpg
38b42392-00d3-433a-94cf-f861b6ae6394,Dating & New York,2021,50/50,/lktpcVcrDHH3RWCvY2URYuKN0VC.jpg
568bf00a-e046-42e6-9c0c-cdb870e948e1,"Definitely, Maybe",2008,75/25,/oUdcZfd8r6HZRVIQeaTU0XtQFeQ.jpg
464b2bf9-8953-45ec-bd89-24441e3ea35d,Down With Love,2003,45/55,
2030be18-d944-4615-a8e6-ec2789bb2beb,Easy A,2010,30/70,/v5f1qO6NJnxWgONgkYg21TW39DT.jpg
df7b08ae-5a17-4cd1-a2ee-38b869496c02,Elemental,2023,60/40,/4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg
557efc7d-a8e1-464a-bc56-7cc023fe84a3,Enchanted,2007,55/45,/8KCNzCArLlvLdQoHx6npua2VSVc.jpg
2988cc83-9563-40ed-bf24-bf3b784feb0d,Exmas,2023,45/55,
fa5c9ffc-aefa-48ac-ad54-3a635a6bab5a,Failure to Launch,2006,35/65,/wQrNTe7VDytVDet9Jus6RDKEPYZ.jpg
874b7ad9-22e3-47da-80e3-efab4236dab3,Falling for Christmas,2022,65/35,/zgtkXLJagDMlW4iXTCojL5guDeu.jpg
1376f9f0-d205-465c-9803-a292d760c532,Father of the Bride,1991,30/70,/g6OTK7l6EX2JP5r00O5fG6BZJlh.jpg
0095115f-c187-4f53-85b1-b30bc7a3e488,Father of the Bride,2022,30/70,/chKMG9tzFqSkj24ejXTio156Qo0.jpg
2e517524-a3e5-489c-8507-2a5b2a57e8e0,Fever Pitch,2005,55/45,/xwJBEOM5BVElAgQIA82KBLX10fu.jpg
ab16c21a-26af-4386-bcff-b293854cce7a,Fire Island,2022,60/40,/2vVUdYoqUX5rK8plxPGERGGjQLI.jpg
a9a737ab-a631-46d7-b781-0e8ad7835eda,Fools Rush In,1997,70/30,/tcRaMjWoF8K7h1LqOH7FOOLRQ3e.jpg
62c77eac-f612-430b-937f-c34174eca36b,Friends with Benefits,2011,50/50,/q4ZAmIIbe2LiLvhQT0q3e6pleYr.jpg
172bb246-8776-40db-889a-4996dd3092ad,Ghosted,2023,40/60,/liLN69YgoovHVgmlHJ876PKi5Yi.jpg
