Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
30,tt0025316,2013-06-17,2013-06-17,,"It Happened One Night","It Happened One Night",https://www.imdb.com/title/tt0025316/,Movie,8.1,105,1934,"Comedy, Romance",113363,1934-02-22,"Frank Capra"
31,tt0817230,2013-06-17,2013-06-17,,"Valentine's Day","Valentine's Day",https://www.imdb.com/title/tt0817230/,Movie,5.7,125,2010,"Comedy, Romance",125854,2010-02-12,"Garry Marshall"
32,tt0333766,2013-06-17,2013-06-17,,"Garden State","Garden State",https://www.imdb.com/title/tt0333766/,Movie,7.4,102,2004,"Comedy, Drama, Romance",223871,2004-08-20,"Zach Braff"
33,tt0381681,2013-06-17,2013-06-17,,"Before Sunset","Before Sunset",https://www.imdb.com/title/tt0381681/,Movie,8.1,80,2004,"Drama, Romance",291024,2004-07-30,"Richard Linklater"
34,tt0337741,2013-06-17,2013-06-17,,"Something's Gotta Give","Something's Gotta Give",https://www.imdb.com/title/tt0337741/,Movie,6.7,128,2003,"Comedy, Drama, Romance",130137,2003-12-12,"Nancy Meyers"
35,tt0163187,2013-06-17,2013-06-17,,"Runaway Bride","Runaway Bride",https://www.imdb.com/title/tt0163187/,Movie,5.6,116,1999,"Comedy, Romance",105233,1999-07-30,"Garry Marshall"
36,tt0256380,2013-06-17,2013-06-17,,"Shallow Hal","Shallow Hal",https://www.imdb.com/title/tt0256380/,Movie,6.0,114,2001,"Comedy, Drama, Fantasy, Romance",146003,2001-11-09,"Bobby Farrelly, Peter Farrelly"
37,tt0129387,2013-06-17,2013-06-17,,"There's Something About Mary","There's Something About Mary",https://www.imdb.com/title/tt0129387/,Movie,7.1,119,1998,"Comedy, Romance",331312,1998-07-15,"Bobby Farrelly, Peter Farrelly"
38,tt0082329,2013-06-17,2013-06-17,,"Endless Love","Endless Love",https://www.imdb.com/title/tt0082329/,Movie,4.9,116,1981,"Drama, Romance",9710,1981-07-17,"Franco Zeffirelli"
39,tt0981227,2013-06-17,2013-06-17,,"Nick and Norah's Infinite Playlist","Nick and Norah's Infinite Playlist",https://www.imdb.com/title/tt0981227/,Movie,6.6,90,2008,"Comedy, Drama, Music, Romance",95597,2008-10-03,"Peter Sollett"
40,tt0113986,2013-06-17,2013-06-17,,"Nine Months","Nine Months",https://www.imdb.com/title/tt0113986/,Movie,5.5,103,1995,"Comedy, Romance",38766,1995-07-12,"Chris Columbus"
41,tt0099699,2013-06-17,2013-06-17,,"Green Card","Green Card",https://www.imdb.com/title/tt0099699/,Movie,6.3,107,1990,"Comedy, Drama, Romance",26013,1991-02-01,"Peter Weir"
42,tt0112471,2013-06-17,2013-06-17,,"Before Sunrise","Before Sunrise",https://www.imdb.com/title/tt0112471/,Movie,8.1,101,1995,"Drama, Romance",343695,1995-01-27,"Richard Linklater"
43,tt0061722,2013-06-17,2013-06-17,,"The Graduate","The Graduate",https://www.imdb.com/title/tt0061722/,Movie,8.0,106,1967,"Comedy, Drama, Romance",290316,1967-12-21,"Mike Nichols"
44,tt0035423,2013-06-17,2013-06-17,,"Kate & Leopold","Kate & Leopold",https://www.imdb.com/title/tt0035423/,Movie,6.4,118,2001,"Comedy, Fantasy, Romance",89515,2001-12-25,"James Mangold"
45,tt0108399,2013-06-17,2013-06-17,,"True Romance","True Romance",https://www.imdb.com/title/tt0108399/,Movie,7.9,119,1993,"Crime, Drama, Romance, Thriller",244378,1993-09-10,"Tony Scott"
46,tt1465487,2013-06-17,2013-06-17,,"Heartbreaker","L'arnacoeur",https://www.imdb.com/title/tt1465487/,Movie,6.7,105,2010,"Comedy, Romance",27740,2010-03-17,"Pascal Chaumeil"
47,tt0758752,2013-06-17,2013-06-17,,"Love & Other Drugs","Love & Other Drugs",https://www.imdb.com/title/tt0758752/,Movie,6.7,112,2010,"Comedy, Drama, Romance",226970,2010-11-24,"Edward Zwick"
48,tt0092890,2013-06-17,2013-06-17,,"Dirty Dancing","Dirty Dancing",https://www.imdb.com/title/tt0092890/,Movie,7.1,100,1987,"Drama, Music, Romance",259724,1987-08-21,"Emile Ardolino"
