Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
30,tt0467406,2017-06-12,2017-06-12,,"Juno","Juno",https://www.imdb.com/title/tt0467406/,Movie,7.4,96,2007,"Comedy, Drama",552057,2007-12-25,"Jason Reitman"
31,tt0770703,2017-06-12,2017-06-12,,"What's Your Number?","What's Your Number?",https://www.imdb.com/title/tt0770703/,Movie,6.0,106,2011,"Comedy, Romance",88322,2011-09-30,"Mark Mylod"
32,tt0116695,2017-06-12,2017-06-12,,"Jerry Maguire","Jerry Maguire",https://www.imdb.com/title/tt0116695/,Movie,7.3,139,1996,"Comedy, Drama, Romance, Sport",289536,1996-12-13,"Cameron Crowe"
33,tt1142988,2017-06-12,2017-06-12,,"The Ugly Truth","The Ugly Truth",https://www.imdb.com/title/tt1142988/,Movie,6.4,96,2009,"Comedy, Romance",231736,2009-07-24,"Robert Luketic"
34,tt1041829,2017-06-12,2017-06-12,,"The Proposal","The Proposal",https://www.imdb.com/title/tt1041829/,Movie,6.8,108,2009,"Comedy, Drama, Romance",365448,2009-06-19,"Anne Fletcher"
35,tt0988595,2017-06-12,2017-06-12,,"27 Dresses","27 Dresses",https://www.imdb.com/title/tt0988595/,Movie,6.1,111,2008,"Comedy, Romance",176487,2008-01-18,"Anne Fletcher"
36,tt0457939,2017-06-12,2017-06-12,,"The Holiday","The Holiday",https://www.imdb.com/title/tt0457939/,Movie,6.9,136,2006,"Comedy, Romance",325882,2006-12-08,"Nancy Meyers"
37,tt0481141,2017-06-12,2017-06-12,,"No Reservations","No Reservations",https://www.imdb.com/title/tt0481141/,Movie,6.3,104,2007,"Comedy, Drama, Romance",79466,2007-07-27,"Scott Hicks"
38,tt0889573,2017-06-12,2017-06-12,,"The Switch","The Switch",https://www.imdb.com/title/tt0889573/,Movie,6.1,101,2010,"Comedy, Drama, Romance",112860,2010-08-20,"Josh Gordon, Will Speck"
39,tt0356910,2017-06-12,2017-06-12,,"Mr. & Mrs. Smith","Mr. & Mrs. Smith",https://www.imdb.com/title/tt0356910/,Movie,6.5,120,2005,"Action, Comedy, Crime, Thriller",547685,2005-06-10,"Doug Liman"
