Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
29,tt0108160,2021-01-03,2021-01-03,,"Sleepless in Seattle","Sleepless in Seattle",https://www.imdb.com/title/tt0108160/,Movie,6.8,105,1993,"Comedy, Drama, Romance",192427,1993-06-25,"Nora Ephron"
30,tt9866072,2021-01-03,2021-01-03,,"Holidate","Holidate",https://www.imdb.com/title/tt9866072/,Movie,6.1,104,2020,"Comedy, Romance",79717,2020-10-28,"John Whitesell"
31,tt0102492,2021-01-03,2021-01-03,,"My Girl","My Girl",https://www.imdb.com/title/tt0102492/,Movie,6.9,102,1991,"Comedy, Drama, Family, Romance",89851,1991-11-27,"Howard Zieff"
32,tt0251127,2021-01-03,2021-01-03,,"How to Lose a Guy in 10 Days","How to Lose a Guy in 10 Days",https://www.imdb.com/title/tt0251127/,Movie,6.5,116,2003,"Comedy, Romance",274117,2003-02-07,"Donald Petrie"
33,tt0119822,2021-01-09,2021-01-09,,"As Good as It Gets","As Good as It Gets",https://www.imdb.com/title/tt0119822/,Movie,7.7,139,1997,"Comedy, Drama, Romance",321014,1997-12-25,"James L. Brooks"
34,tt0832266,2021-01-12,2021-01-12,,"Definitely, Maybe","Definitely, Maybe",https://www.imdb.com/title/tt0832266/,Movie,7.1,112,2008,"Comedy, Drama, Romance",174128,2008-02-14,"Adam Brooks"
35,tt0457939,2021-01-12,2021-01-12,,"The Holiday","The Holiday",https://www.imdb.com/title/tt0457939/,Movie,6.9,136,2006,"Comedy, Romance",325882,2006-12-08,"Nancy Meyers"
36,tt0758752,2021-03-07,2021-03-07,,"Love & Other Drugs","Love & Other Drugs",https://www.imdb.com/title/tt0758752/,Movie,6.7,112,2010,"Comedy, Drama, Romance",226970,2010-11-24,"Edward Zwick"
37,tt11080108,2021-03-20,2021-03-20,,"The Map of Tiny Perfect Things","The Map of Tiny Perfect Things",https://www.imdb.com/title/tt11080108/,Movie,6.8,98,2021,"Comedy, Fantasy, Romance",28598,2021-02-12,"Ian Samuels"
38,tt0981227,2021-04-27,2021-04-27,,"Nick and Norah's Infinite Playlist","Nick and Norah's Infinite Playlist",https://www.imdb.com/title/tt0981227/,Movie,6.6,90,2008,"Comedy, Drama, Music, Romance",95597,2008-10-03,"Peter Sollett"
